Class,image,x,y,w,h
14,00001.jpg,0.5066666666666667,0.61375,0.8833333333333333,0.6475
3,00002.jpg,0.5022222222222222,0.5207407407407407,0.9244444444444444,0.6977777777777778
91,00003.jpg,0.5359375,0.5104166666666666,0.80625,0.5666666666666667
134,00004.jpg,0.5011904761904762,0.5371572871572872,0.41095238095238096,0.5072150072150072
106,00005.jpg,0.5104166666666666,0.625,0.8263888888888888,0.5833333333333334
123,00006.jpg,0.6730434782608695,0.8178654292343387,0.44521739130434784,0.29466357308584684
89,00007.jpg,0.49140625,0.496875,0.7078125,0.6604166666666667
96,00008.jpg,0.5195618153364632,0.509375,0.810641627543036,0.6895833333333333
167,00009.jpg,0.503515625,0.5320284697508897,0.97578125,0.7651245551601423
58,00010.jpg,0.503125,0.496875,0.940625,0.5354166666666667
49,00011.jpg,0.509375,0.5731132075471698,0.859375,0.7075471698113207
186,00012.jpg,0.505,0.5523809523809524,0.986,0.7111111111111111
135,00013.jpg,0.448,0.5119402985074627,0.776,0.808955223880597
85,00014.jpg,0.505625,0.655,0.93375,0.49
193,00015.jpg,0.48515625,0.5377358490566038,0.8703125,0.7122641509433962
172,00016.jpg,0.4984375,0.4635416666666667,0.9125,0.7229166666666667
14,00017.jpg,0.525096525096525,0.520618556701031,0.749034749034749,0.5051546391752577
73,00018.jpg,0.4825,0.5272108843537415,0.935,0.9455782312925171
192,00019.jpg,0.5376666666666666,0.55863539445629,0.746,0.5053304904051172
57,00020.jpg,0.489,0.6746153846153846,0.944,0.4846153846153846
79,00021.jpg,0.4746666666666667,0.5660980810234542,0.904,0.4669509594882729
36,00022.jpg,0.5011904761904762,0.6020923520923521,0.8004761904761905,0.42784992784992787
120,00023.jpg,0.487,0.48518518518518516,0.93,0.762962962962963
170,00024.jpg,0.5009765625,0.486328125,0.8984375,0.64453125
194,00025.jpg,0.49751655629139074,0.4746136865342163,0.8824503311258278,0.565121412803532
134,00026.jpg,0.5,0.6630695443645084,0.9044585987261147,0.49160671462829736
184,00027.jpg,0.5444444444444444,0.5299043062200957,0.834920634920635,0.5478468899521531
86,00028.jpg,0.5080645161290323,0.6031553398058253,0.8709677419354839,0.6480582524271845
180,00029.jpg,0.4975,0.5270833333333333,0.96,0.8225
194,00030.jpg,0.5334821428571429,0.5320945945945946,0.8839285714285714,0.6959459459459459
154,00031.jpg,0.24462890625,0.57421875,0.3818359375,0.3203125
139,00032.jpg,0.483,0.508,0.918,0.8506666666666667
66,00033.jpg,0.51025390625,0.5553385416666666,0.9541015625,0.59765625
133,00034.jpg,0.50859375,0.4791666666666667,0.9015625,0.6958333333333333
154,00035.jpg,0.5302066772655007,0.4638480392156863,0.7058823529411765,0.7144607843137255
104,00036.jpg,0.5681034482758621,0.528,0.6603448275862069,0.728
38,00037.jpg,0.50546875,0.5070588235294118,0.9140625,0.6047058823529412
97,00038.jpg,0.4947916666666667,0.5763888888888888,0.9229166666666667,0.6583333333333333
105,00039.jpg,0.52109375,0.5447058823529412,0.8765625,0.5576470588235294
142,00040.jpg,0.5826666666666667,0.5469083155650319,0.5946666666666667,0.6247334754797441
13,00041.jpg,0.48984375,0.4822916666666667,0.7890625,0.7354166666666667
191,00042.jpg,0.5078125,0.4778761061946903,0.928125,0.6858407079646017
119,00043.jpg,0.511744966442953,0.48081534772182255,0.9496644295302014,0.7745803357314148
38,00044.jpg,0.5743550834597876,0.6343963553530751,0.48103186646433993,0.3895216400911162
186,00045.jpg,0.501,0.54,0.954,0.504
